hostname,os,environment,country,node
LTFRA001,Linux,Testing,France,1
LPESP001,Linux,Production,Spain,1
ATIRL001,AIX,Testing,Ireland,1
HPITA001,HP-UX,Production,Italy,1
AIIRL001,AIX,Integration,Ireland,1
LIIRL001,Linux,Integration,Ireland,1
SSITA001,Solaris,Staging,Italy,1
SDITA001,Solaris,Development,Italy,1
SPIRL001,Solaris,Production,Ireland,1
SIDEU001,Solaris,Integration,Germany,1
LPESP002,Linux,Production,Spain,2
ATITA001,AIX,Testing,Italy,1
LDDEU001,Linux,Development,Germany,1
LDIRL001,Linux,Development,Ireland,1
ASDEU001,AIX,Staging,Germany,1
LSESP001,Linux,Staging,Spain,1
LSDEU001,Linux,Staging,Germany,1
LSITA001,Linux,Staging,Italy,1
APIRL001,AIX,Production,Ireland,1
SPESP001,Solaris,Production,Spain,1
AIDEU001,AIX,Integration,Germany,1
ASFRA001,AIX,Staging,France,1
HTESP001,HP-UX,Testing,Spain,1
LTIRL001,Linux,Testing,Ireland,1
ATFRA001,AIX,Testing,France,1
APESP001,AIX,Production,Spain,1
HPDEU001,HP-UX,Production,Germany,1
HTDEU001,HP-UX,Testing,Germany,1
LIDEU001,Linux,Integration,Germany,1
STITA001,Solaris,Testing,Italy,1
LSIRL001,Linux,Staging,Ireland,1
ATITA002,AIX,Testing,Italy,2
APESP002,AIX,Production,Spain,2
LDITA001,Linux,Development,Italy,1
SIIRL001,Solaris,Integration,Ireland,1
LSNOR001,Linux,Staging,Norway,1
HTESP002,HP-UX,Testing,Spain,2
APDEU001,AIX,Production,Germany,1
SSIRL001,Solaris,Staging,Ireland,1
ASDEU002,AIX,Staging,Germany,2
LPIRL001,Linux,Production,Ireland,1
LPDEU001,Linux,Production,Germany,1
SPNOR001,Solaris,Production,Norway,1
LSITA002,Linux,Staging,Italy,2
SDESP001,Solaris,Development,Spain,1
LTFRA002,Linux,Testing,France,2
SPITA001,Solaris,Production,Italy,1
ASIRL001,AIX,Staging,Ireland,1
HTITA001,HP-UX,Testing,Italy,1
STIRL001,Solaris,Testing,Ireland,1
LTITA001,Linux,Testing,Italy,1
HPESP001,HP-UX,Production,Spain,1
ASIRL002,AIX,Staging,Ireland,2
SDNOR001,Solaris,Development,Norway,1
HTESP003,HP-UX,Testing,Spain,3
LPITA001,Linux,Production,Italy,1
ASITA001,AIX,Staging,Italy,1
LTIRL002,Linux,Testing,Ireland,2
LIDEU002,Linux,Integration,Germany,2
SPFRA001,Solaris,Production,France,1
SSFRA001,Solaris,Staging,France,1
SSDEU001,Solaris,Staging,Germany,1
HDIRL001,HP-UX,Development,Ireland,1
ATIRL002,AIX,Testing,Ireland,2
SIIRL002,Solaris,Integration,Ireland,2
LSESP002,Linux,Staging,Spain,2
SPDEU001,Solaris,Production,Germany,1
LTNOR001,Linux,Testing,Norway,1
LPDEU002,Linux,Production,Germany,2
LSITA003,Linux,Staging,Italy,3
LDITA002,Linux,Development,Italy,2
STIRL002,Solaris,Testing,Ireland,2
ATESP001,AIX,Testing,Spain,1
SPDEU002,Solaris,Production,Germany,2
SSDEU002,Solaris,Staging,Germany,2
SIITA001,Solaris,Integration,Italy,1
SIDEU002,Solaris,Integration,Germany,2
AIIRL002,AIX,Integration,Ireland,2
LTIRL003,Linux,Testing,Ireland,3
LSDEU002,Linux,Staging,Germany,2
LSFRA001,Linux,Staging,France,1
SIFRA001,Solaris,Integration,France,1
LTIRL004,Linux,Testing,Ireland,4
LDDEU002,Linux,Development,Germany,2
HPDEU002,HP-UX,Production,Germany,2
ADESP001,AIX,Development,Spain,1
SPESP002,Solaris,Production,Spain,2
LTNOR002,Linux,Testing,Norway,2
LSIRL002,Linux,Staging,Ireland,2
HSESP001,HP-UX,Staging,Spain,1
SSDEU003,Solaris,Staging,Germany,3
LPESP003,Linux,Production,Spain,3
HIESP001,HP-UX,Integration,Spain,1
HDESP001,HP-UX,Development,Spain,1
AIIRL003,AIX,Integration,Ireland,3
APDEU002,AIX,Production,Germany,2
SPIRL002,Solaris,Production,Ireland,2
HPESP002,HP-UX,Production,Spain,2
LSIRL003,Linux,Staging,Ireland,3
ADIRL001,AIX,Development,Ireland,1
LPESP004,Linux,Production,Spain,4
SSITA002,Solaris,Staging,Italy,2
STFRA001,Solaris,Testing,France,1
LSESP003,Linux,Staging,Spain,3
SPIRL003,Solaris,Production,Ireland,3
